iata_code|municipality
ALC|ALCAN
ANC|ANCHORAGE
BAR|BAKER AAF - BAKER ISLAND
DAC|DALTONS CACHE
PIZ|DEW STATION PT LAY DEW
DTH|DUTCH HARBOR
EGL|EAGLE
FRB|FAIRBANKS
HOM|HOMER
HYD|HYDER
JUN|JUNEAU
5KE|KETCHIKAN
KET|KETCHIKAN
MOS|MOSES POINT INTERMEDIATE
NIK|NIKISKI
NOM|NOM
PKC|POKER CREEK
ORI|PORT LIONS SPB
SKA|SKAGWAY
SNP|ST. PAUL ISLAND
TKI|TOKEEN
WRA|WRANGELL
HSV|MADISON COUNTY - HUNTSVILLE
MOB|MOBILE
LIA|LITTLE ROCK
ROG|ROGERS ARPT
DOU|DOUGLAS
LUK|LUKEVILLE
MAP|MARIPOSA AZ           
NAC|NACO
NOG|NOGALES
PHO|PHOENIX
POR|PORTAL
SLU|SAN LUIS
SAS|SASABE
TUC|TUCSON
YUI|YUMA
AND|ANDRADE
BUR|BURBANK
CAL|CALEXICO
CAO|CAMPO
FRE|FRESNO
ICP|IMPERIAL COUNTY
LNB|LONG BEACH
LOS|LOS ANGELES
BFL|MEADOWS FIELD - BAKERSFIELD
OAK|OAKLAND
ONT|ONTARIO
OTM|OTAY MESA
BLT|PACIFIC
PSP|PALM SPRINGS
SAC|SACRAMENTO
SLS|SALINAS
SDP|SAN DIEGO
SFR|SAN FRANCISCO
SNJ|SAN JOSE
SLO|SAN LUIS OBISPO
SLI|SAN LUIS OBISPO
SPC|SAN PEDRO
SYS|SAN YSIDRO
SAA|SANTA ANA
STO|STOCKTON
TEC|TECATE
TRV|TRAVIS-AFB
APA|ARAPAHOE COUNTY
ASE|ASPEN
COS|COLORADO SPRINGS
DEN|DENVER
DRO|LA PLATA - DURANGO
BDL|BRADLEY INTERNATIONAL
BGC|BRIDGEPORT
GRT|GROTON
HAR|HARTFORD
NWH|NEW HAVEN
NWL|NEW LONDON
TST|NEWINGTON DATA CENTER TEST
WAS|WASHINGTON DC         
DOV|DOVER AFB
DVD|DOVER-AFB
WLL|WILMINGTON
BOC|BOCAGRANDE
SRQ|BRADENTON - SARASOTA
CAN|CAPE CANAVERAL
DAB|DAYTONA BEACH INTERNATIONAL
FRN|FERNANDINA
FTL|FORT LAUDERDALE
